id,Project,TeamExp,ManagerExp,YearEnd,Length,Language,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust,Effort
1,1,1,4,85,12,1,253,52,305,34,302,5152
2,2,0,0,86,4,1,197,124,321,33,315,5635
3,3,4,4,85,1,1,40,60,100,18,83,805
4,4,0,0,86,5,1,200,119,319,30,303,3829
5,5,0,0,86,4,1,140,94,234,24,208,2149
6,6,0,0,86,4,1,97,89,186,38,192,2821
7,7,2,1,85,9,2,119,42,161,25,145,2569
8,8,1,2,83,13,1,186,52,238,25,214,3913
9,9,3,1,85,12,1,172,88,260,30,247,7854
10,10,3,4,83,4,1,78,38,116,24,103,2422
11,11,4,1,84,21,1,167,99,266,24,237,4067
12,12,2,1,84,17,1,146,112,258,40,271,9051
13,13,1,1,84,3,1,33,72,105,19,88,2282
14,14,3,4,85,8,1,162,61,223,32,216,4172
15,15,4,4,85,9,1,223,121,344,28,320,4977
16,16,3,2,85,8,2,119,48,167,26,152,1617
17,17,4,3,85,8,1,57,43,100,43,108,3192
18,18,4,4,86,14,2,68,316,384,20,326,3437
19,19,3,4,87,14,2,9,386,395,21,340,4494
20,20,4,2,86,5,1,58,34,92,29,86,840
21,21,4,4,86,12,2,318,269,587,34,581,14973
22,22,2,4,85,18,1,88,170,258,34,255,5180
23,23,2,4,86,5,1,306,132,438,37,447,5775
24,24,4,1,87,20,1,304,78,382,39,397,10577
25,25,1,4,86,8,1,89,200,289,33,283,3983
26,26,4,1,85,14,1,86,230,316,33,310,3164
27,27,2,0,86,6,1,71,235,306,37,312,3542
28,28,3,1,85,14,1,148,324,472,39,491,4277
29,29,4,4,85,16,1,116,170,286,27,263,7252
30,30,4,1,85,14,1,175,277,452,37,461,3948
31,31,4,3,86,6,1,79,128,207,27,190,3927
32,32,1,1,86,9,3,145,38,183,27,168,710
33,33,4,4,87,9,3,174,78,252,41,267,2429
34,34,1,1,85,5,1,194,91,285,35,285,6405
35,35,2,2,88,3,3,126,49,175,38,180,651
36,36,1,3,86,17,2,317,119,436,34,432,9135
37,37,2,4,87,11,3,289,88,377,28,351,1435
38,38,-1,-1,87,8,1,260,144,404,24,360,5922
39,39,1,4,88,4,3,158,59,217,18,180,847
40,40,3,3,88,16,2,302,145,447,52,523,8050
41,41,1,1,87,9,1,451,48,499,28,464,4620
42,42,2,4,87,34,3,661,132,793,23,698,2352
43,43,1,1,88,10,1,64,54,118,25,106,2174
44,44,-1,4,86,39,1,284,230,514,50,591,19894
45,45,2,1,86,18,1,182,126,308,35,308,6699
46,46,2,3,87,27,1,173,332,505,19,424,14987
47,47,2,2,88,9,1,252,7,259,28,241,4004
48,48,4,3,85,11,1,131,180,311,51,361,12824
49,49,2,3,85,8,1,106,39,145,6,103,2331
50,50,3,3,85,9,1,96,108,204,29,192,5817
51,51,2,3,85,7,1,116,72,188,18,156,2989
52,52,3,3,85,6,1,86,49,135,32,131,3136
53,53,2,3,85,17,1,221,121,342,35,342,14434
54,54,1,1,87,12,1,61,96,157,18,130,2583
55,55,1,3,86,12,2,132,89,221,5,155,3647
56,56,3,7,86,13,2,45,387,432,16,350,8232
57,57,1,1,86,12,2,55,112,167,12,129,3276
58,58,1,4,87,8,2,124,52,176,14,139,2723
59,59,3,3,87,5,2,120,126,246,15,197,3472
60,60,1,2,87,6,2,47,32,79,14,62,1575
61,61,1,1,86,12,2,126,107,233,23,205,2926
62,62,3,2,86,6,2,101,45,146,15,117,1876
63,63,1,1,86,5,1,78,99,177,14,140,2520
64,64,4,7,86,13,1,69,74,143,14,113,1603
65,65,1,3,86,8,2,194,97,291,35,291,3626
66,66,2,-1,87,10,2,224,110,334,28,309,6783
67,67,2,4,87,15,2,323,184,507,35,507,11361
68,68,1,3,86,6,2,42,31,73,27,67,1267
69,69,1,2,87,5,2,74,43,117,25,105,2548
70,70,3,4,87,10,2,101,57,158,9,117,1155
71,71,0,4,86,6,3,97,42,139,6,99,546
72,72,2,3,84,13,2,134,77,211,13,165,2275
73,73,4,5,86,26,2,482,227,709,26,645,9100
74,74,0,2,84,6,3,213,73,286,6,203,595
75,75,0,-1,84,22,2,139,143,282,22,245,3941
76,76,2,3,86,24,2,473,182,655,40,688,13860
77,77,4,4,85,12,3,229,169,398,39,414,1400
78,78,4,3,83,12,1,227,73,300,34,297,2800
79,79,4,4,82,24,1,395,193,588,40,617,9520
80,80,4,3,86,12,3,469,176,645,43,697,5880
81,81,4,4,85,36,1,886,241,1127,34,1116,23940
